channel_id,timestamp,host_id,content_type,protocol,content_id,geo_location,user_id
84505,0,2088-05-13 08:50:31 ,156,2,1,,1,13.0
84486,0,2088-05-13 08:51:26 ,156,2,1,,1,13.0
64915,0,2088-05-13 08:51:57 ,156,8,1,,1570,0.0
19710,0,2088-05-13 08:52:28 ,156,2,1,,1,13.0
30470,0,2088-05-13 08:52:51 ,156,8,1,,1,0.0
45304,0,2088-05-13 08:53:35 ,156,8,1,,0,0.0
12732,0,2088-05-13 08:53:54 ,156,8,1,,1,0.0
87517,0,2088-05-13 08:54:03 ,156,8,1,,1511,0.0
50209,0,2088-05-13 08:54:21 ,156,2,1,,1,13.0
23721,0,2088-05-13 08:55:06 ,156,2,1,,1,13.0
47291,0,2088-05-13 08:55:30 ,156,8,1,,1391,0.0
47285,0,2088-05-13 08:56:04 ,156,2,1,,1,13.0
80572,0,2088-05-13 08:57:08 ,156,8,1,,588,0.0
82549,0,2088-05-13 08:57:33 ,156,2,1,,1,13.0
8820,0,2088-05-13 08:57:39 ,156,8,1,,818,0.0
32443,0,2088-05-13 08:57:47 ,156,8,1,,1578,0.0
66983,0,2088-05-13 08:57:51 ,156,8,1,,1,0.0
1,0,2088-05-13 08:58:12 ,156,8,1,,1514,0.0
77745,0,2088-05-13 08:58:16 ,156,2,1,,1,13.0
7833,0,2088-05-13 08:58:23 ,156,8,1,,1,0.0
47292,0,2088-05-13 08:58:29 ,156,2,1,,1,13.0
51161,0,2088-05-13 08:59:07 ,156,2,1,,1,13.0
73826,0,2088-05-13 08:59:29 ,156,2,1,,1,13.0
46342,0,2088-05-13 08:59:29 ,156,8,1,,950,0.0
45269,0,2088-05-13 08:59:32 ,156,8,1,,855,0.0
51189,0,2088-05-13 09:00:10 ,156,2,1,,1,13.0
5891,0,2088-05-13 09:00:29 ,156,2,1,,1,13.0
86384,0,2088-05-13 09:00:37 ,156,8,1,,1,0.0
70927,0,2088-05-13 09:01:27 ,156,2,1,,1,13.0
29587,0,2088-05-13 09:02:26 ,156,2,1,,1,13.0
73827,0,2088-05-13 09:03:29 ,156,2,1,,1,13.0
39383,0,2088-05-13 09:04:13 ,156,8,1,,665,0.0
41402,0,2088-05-13 09:04:29 ,156,2,1,,1,13.0
59208,0,2088-05-13 09:05:04 ,156,8,1,,1490,0.0
23786,0,2088-05-13 09:05:19 ,156,8,1,,1490,0.0
35475,0,2088-05-13 09:05:28 ,156,2,1,,1,13.0
62047,0,2088-05-13 09:06:26 ,156,2,1,,1,13.0
47384,0,2088-05-13 09:06:49 ,156,8,1,,1444,0.0
14729,0,2088-05-13 09:07:15 ,156,8,1,,0,0.0
23785,0,2088-05-13 09:07:25 ,156,2,1,,1,13.0
62046,0,2088-05-13 09:08:25 ,156,2,1,,1,13.0
7825,0,2088-05-13 09:08:41 ,156,8,1,,665,0.0
